,Div,Team,Team ID,Date,Opponent,Attendance
390,E0,Tottenham,EPL16,15/7/2020,Newcastle United,
391,E0,Watford,EPL17,17/8/2019,Everton,39066.0
392,E0,Watford,EPL17,31/8/2019,Newcastle United,44157.0
393,E0,Watford,EPL17,21/9/2019,Manchester City,54273.0
394,E0,Watford,EPL17,28/9/2019,Wolverhampton Wanderers,30711.0
395,E0,Watford,EPL17,19/10/2019,Tottenham Hotspur,58754.0
396,E0,Watford,EPL17,29/10/2019,Everton,
397,E0,Watford,EPL17,8/11/2019,Norwich City,
398,E0,Watford,EPL17,30/11/2019,Southampton,26929.0
399,E0,Watford,EPL17,4/12/2019,Leicester City,31763.0
400,E0,Watford,EPL17,14/12/2019,Liverpool,
401,E0,Watford,EPL17,26/12/2019,Sheffield United,30222.0
402,E0,Watford,EPL17,12/1/2020,AFC Bournemouth,10384.0
403,E0,Watford,EPL17,21/1/2020,Aston Villa,40867.0
404,E0,Watford,EPL17,23/1/2020,Tranmere Rovers,
405,E0,Watford,EPL17,8/2/2020,Brighton & Hove Albion,30443.0
406,E0,Watford,EPL17,23/2/2020,Manchester United,73347.0
407,E0,Watford,EPL17,7/3/2020,Crystal Palace,25461.0
408,E0,Watford,EPL17,25/6/2020,Burnley,
409,E0,Watford,EPL17,4/7/2020,Chelsea,
410,E0,WestHam,EPL18,17/8/2019,Brighton & Hove Albion,30459.0
